"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031667","response to nutrient levels","35/545","461/18842",0.0759219088937093,2.62480845389958,6.09576683987214,2.20854642580242e-07,8.1164081148239e-05,8.1164081148239e-05,"ASS1/NUPR2/FOXO3/HSPA8/OGT/CCND1/PRKAA2/SPP1/IGFBP2/GAS6/APOE/SORL1/CYBA/GDF15/LAMP2/GABARAPL1/KL/MAP1LC3A/ITGA2/SEC22B/MT-CYB/PCK1/DDIT3/UPP1/LRRK2/ATF3/CDKN1A/FAM107A/FOS/PDK4/FOLR1/KLF10/ZFP36/RNF152/GABARAP",35
"GO:0048754","branching morphogenesis of an epithelial tube","13/545","77/18842",0.168831168831169,5.83691171214107,7.34005848587925,2.90570265104406e-07,9.77041621793494e-05,9.77041621793494e-05,"CTSH/ENG/TGFBR2/CTNNB1/PAX2/VEGFA/NPNT/PKD2/TACSTD2/PKHD1/MET/PAX8/HOXB7",13
"GO:0036293","response to decreased oxygen levels","26/545","287/18842",0.0905923344947735,3.13200140651472,6.28142585472935,2.99094374018417e-07,9.77041621793494e-05,9.77041621793494e-05,"CD24/FOXO3/LMNA/CCND1/NF1/DDAH1/NPEPPS/MDM4/PINK1/CYBA/ENG/JUND/EGR1/EPAS1/RGCC/ITPR2/MAP1LC3A/ITGA2/AGTRAP/MT-CYB/VEGFA/DDIT4/PLOD2/FOS/CLDN3/HIF1A",26
"GO:0048729","tissue morphogenesis","32/545","408/18842",0.0784313725490196,2.71156682856629,6.03218195027369,3.58451490942263e-07,0.000110931303512658,0.000110931303512658,"CD151/PERP/CTSH/DSP/PHLDB2/MDM4/HES1/ENG/PLXNB2/TGFBR2/DDR1/CTNNB1/ITGA2/WLS/MYO9A/PAX2/RHOB/VEGFA/NPNT/KDM6B/PKD2/TACSTD2/PKHD1/ITGAV/MET/STAT1/FOLR1/PAX8/FOXP1/BTBD7/HOXB7/MYLK",32
"GO:0022407","regulation of cell-cell adhesion","35/545","472/18842",0.0741525423728814,2.56363707044006,5.93762357171842,3.86788110773485e-07,0.000112270817478493,0.000112270817478493,"CD24/TMX1/HLA-DRB5/ASS1/ARG2/TWSG1/FOXO3/F11R/MYADM/IGFBP2/NFAT5/IL6ST/ARID1B/CEBPB/TGFBR2/HSPH1/EPCAM/RGCC/CTNNB1/PPP3CA/ZDHHC2/ADGRG1/VEGFA/PCK1/ETS1/CX3CL1/SMARCE1/CD47/PKHD1/SPINT2/CDH1/HLA-E/PLPP3/RAP1GAP/SOX4",35
"GO:0048732","gland development","23/545","236/18842",0.0974576271186441,3.36935157829264,6.32148750318367,4.00967205280332e-07,0.000112270817478493,0.000112270817478493,"PERP/ASS1/LBH/HNF1B/CCND1/NF1/CRIP1/ID2/HES1/CEBPB/DDR1/ELF3/ITGA2/WLS/VEGFA/PCK1/ARID5B/PKD2/CDH1/MET/RAP1GAP/PAX8/BTBD7",23
"GO:0050678","regulation of epithelial cell proliferation","27/545","312/18842",0.0865384615384615,2.99184897671136,6.12288744585609,4.42248362012343e-07,0.000116053901926476,0.000116053901926476,"HPN/CDKN1C/KLF9/GRN/EGFL7/NF1/NR4A1/APOE/CYBA/ENG/JUND/RGCC/SPARC/PAX2/VEGFA/ERRFI1/NME2/TACSTD2/PKHD1/SRSF6/LAMB1/STAT1/RAP1GAP/ZFP36/ERBB2/EMC10/HIF1A",27
"GO:0072160","nephron tubule epithelial cell differentiation","6/545","12/18842",0.5,17.2862385321101,9.73972144282292,4.5395233746751e-07,0.000116053901926476,0.000116053901926476,"CD24/CTNNB1/PAX2/PROM1/STAT1/PAX8",6
"GO:0030856","regulation of epithelial cell differentiation","17/545","139/18842",0.122302158273381,4.2282885618111,6.59301998880191,5.67599701852271e-07,0.000132724040784213,0.000132724040784213,"CD24/MAFF/BTG1/WFDC2/F11R/CEBPB/CTNNB1/PAX2/VEGFA/ERRFI1/PROM1/NME2/SRSF6/SPRY1/STAT1/ZFP36/PAX8",17
"GO:0001666","response to hypoxia","25/545","278/18842",0.0899280575539568,3.10903570721405,6.11407599695528,5.79937661961054e-07,0.000132724040784213,0.000132724040784213,"CD24/FOXO3/LMNA/CCND1/NF1/DDAH1/NPEPPS/MDM4/PINK1/CYBA/ENG/JUND/EGR1/EPAS1/RGCC/ITPR2/ITGA2/AGTRAP/MT-CYB/VEGFA/DDIT4/PLOD2/FOS/CLDN3/HIF1A",25
"GO:0050673","epithelial cell proliferation","29/545","356/18842",0.0814606741573034,2.81629728893928,5.97105045863248,5.8687501027033e-07,0.000132724040784213,0.000132724040784213,"HPN/CDKN1C/KLF9/GRN/EGFL7/NF1/ID2/NR4A1/APOE/CYBA/ENG/CEBPB/JUND/RGCC/SPARC/PAX2/VEGFA/ERRFI1/NME2/TACSTD2/PKHD1/SRSF6/LAMB1/STAT1/RAP1GAP/ZFP36/ERBB2/EMC10/HIF1A",29
"GO:2000696","regulation of epithelial cell differentiation involved in kidney development","6/545","13/18842",0.461538461538462,15.9565278757939,9.30998786839137,8.22436373977777e-07,0.000179108365888494,0.000179108365888494,"CD24/CTNNB1/PAX2/PROM1/STAT1/PAX8",6
"GO:0072170","metanephric tubule development","7/545","20/18842",0.35,12.1003669724771,8.57195202522148,9.10752009691284e-07,0.000184662821275336,0.000184662821275336,"POU3F3/HES1/PAX2/CALB1/PKD2/STAT1/PAX8",7
"GO:0072234","metanephric nephron tubule development","7/545","20/18842",0.35,12.1003669724771,8.57195202522148,9.10752009691284e-07,0.000184662821275336,0.000184662821275336,"POU3F3/HES1/PAX2/CALB1/PKD2/STAT1/PAX8",7
"GO:0035966","response to topologically incorrect protein","18/545","161/18842",0.111801242236025,3.86524588295629,6.30137110048347,1.01403100384611e-06,0.00019662203043999,0.00019662203043999,"CLU/PPP1R15B/HSF1/HSPA8/AMFR/PPP1R15A/DNAJB1/HERPUD1/DNAJA1/HSPH1/TRAM1/TMEM33/DDIT3/HSPA1A/ATF3/STT3B/DNAJC10/JKAMP",18
"GO:0006986","response to unfolded protein","17/545","145/18842",0.117241379310345,4.05332489718444,6.36988127777999,1.03661274551696e-06,0.00019662203043999,0.00019662203043999,"PPP1R15B/HSF1/HSPA8/AMFR/PPP1R15A/DNAJB1/HERPUD1/DNAJA1/HSPH1/TRAM1/TMEM33/DDIT3/HSPA1A/ATF3/STT3B/DNAJC10/JKAMP",17
"GO:0072243","metanephric nephron epithelium development","7/545","21/18842",0.333333333333333,11.5241590214067,8.32790924289913,1.33214871301683e-06,0.000244782326016842,0.000244782326016842,"POU3F3/HES1/PAX2/CALB1/PKD2/STAT1/PAX8",7
"GO:0070482","response to oxygen levels","26/545","312/18842",0.0833333333333333,2.88103975535168,5.7822630319166,1.47362609783611e-06,0.000262573377432616,0.000262573377432616,"CD24/FOXO3/LMNA/CCND1/NF1/DDAH1/NPEPPS/MDM4/PINK1/CYBA/ENG/JUND/EGR1/EPAS1/RGCC/ITPR2/MAP1LC3A/ITGA2/AGTRAP/MT-CYB/VEGFA/DDIT4/PLOD2/FOS/CLDN3/HIF1A",26
"GO:0045785","positive regulation of cell adhesion","32/545","437/18842",0.0732265446224256,2.53162303445091,5.59094189338614,1.60691999028204e-06,0.000273119445380747,0.000273119445380747,"CD24/HLA-DRB5/FOXO3/RRAS/F11R/MYADM/IGFBP2/NFAT5/IL6ST/ARID1B/TGFBR2/HSPH1/RIN2/CTNNB1/ITGA2/PPP3CA/ADGRG1/VEGFA/PCK1/ETS1/NPNT/CX3CL1/SMARCE1/CD47/ITGAV/LAMB1/HLA-E/PLPP3/NEDD9/JUP/ERBB2/SOX4",32
"GO:0097193","intrinsic apoptotic signaling pathway","25/545","294/18842",0.0850340136054422,2.93983648505274,5.78562827484023,1.62571098440921e-06,0.000273119445380747,0.000273119445380747,"CD24/MIF/CLU/PPP1R15A/CRIP1/HERPUD1/DNAJA1/PINK1/CEBPB/CTNNB1/YBX3/MCL1/DDIT4/DDIT3/IFI27/SELENOK/LRRK2/HSPA1A/CDKN1A/HIP1R/MUC1/CYCS/DNAJC10/IFI6/HIF1A",25
"GO:0060562","epithelial tube morphogenesis","19/545","184/18842",0.103260869565217,3.56998404467491,6.04598514962305,1.71944100987408e-06,0.000280842031612767,0.000280842031612767,"PERP/CTSH/HES1/ENG/PLXNB2/TGFBR2/CTNNB1/PAX2/RHOB/VEGFA/NPNT/PKD2/TACSTD2/PKHD1/MET/FOLR1/PAX8/FOXP1/HOXB7",19
"GO:0071356","cellular response to tumor necrosis factor","20/545","202/18842",0.099009900990099,3.42301753111091,5.97543558352445,1.78372921633427e-06,0.000283468318703933,0.000283468318703933,"ASS1/FOXO3/GAS6/HES1/HYAL2/CYBA/HSPA1B/YBX3/ZFP36L2/KLF2/NPNT/HSPA1A/ANXA4/NFKBIA/ADAM10/FOS/STAT1/ZFP36/ASAH1/FOXP1",20
"GO:0002009","morphogenesis of an epithelium","26/545","316/18842",0.0822784810126582,2.844570897689,5.70700621769125,1.86866411524225e-06,0.000287251594747634,0.000287251594747634,"CD151/PERP/CTSH/PHLDB2/HES1/ENG/PLXNB2/TGFBR2/DDR1/CTNNB1/MYO9A/PAX2/RHOB/VEGFA/NPNT/PKD2/TACSTD2/PKHD1/ITGAV/MET/STAT1/FOLR1/PAX8/FOXP1/BTBD7/HOXB7",26
"GO:0072207","metanephric epithelium development","7/545","22/18842",0.318181818181818,11.0003336113428,8.09983740621123,1.90524016924451e-06,0.000287251594747634,0.000287251594747634,"POU3F3/HES1/PAX2/CALB1/PKD2/STAT1/PAX8",7
